Gmt time;Open;High;Low;Close;Volume
2024-01-09;2026.96;2042.03;2026.06;2030.07;101277
2024-01-10;2028.96;2040.29;2020.49;2024.2;104517
2024-01-11;2022.39;2039.59;2013.3;2028.72;126869
2024-01-12;2027.9;2062.28;2027.9;2048.93;140909
2024-01-15;2048.58;2058.65;2045.82;2054.48;78905
2024-01-16;2054.28;2055.42;2024.26;2028.3;131727
2024-01-17;2027.29;2032.95;2001.84;2006.16;122125
2024-01-18;2004.63;2023.25;2004.63;2022.97;116963
2024-01-19;2022.88;2039.41;2020.41;2029.37;106946
2024-01-22;2029.82;2032.09;2016.59;2021.37;116727
2024-01-23;2020.57;2037.93;2019.59;2028.97;115958
2024-01-24;2028.51;2036.71;2011.21;2014.44;124401
2024-01-25;2012.68;2025.28;2009.27;2020.7;107713
2024-01-26;2019.85;2026.81;2015.97;2018.46;101121
2024-01-29;2021.46;2037.6;2019.32;2032.31;102914
2024-01-30;2032.86;2048.66;2029.05;2036.63;105075
2024-01-31;2034.96;2056.04;2030.87;2038.54;132992
2024-02-01;2038.82;2065.47;2030.08;2054.88;140973
2024-02-02;2053.32;2057.69;2027.93;2039.53;120982
2024-02-05;2039.25;2042.19;2014.9;2024.76;125831
2024-02-06;2023.32;2038.9;2022.92;2035.78;112121
2024-02-07;2035.03;2044.56;2030.61;2034.92;90422
2024-02-08;2033.74;2038.72;2020.21;2033.94;105722
2024-02-09;2033.62;2037.2;2020.33;2024.2;94571
2024-02-12;2023.3;2027.62;2011.91;2019.91;91815
2024-02-13;2019.01;2032.37;1990.11;1993.07;96589
2024-02-14;1992.27;1996.15;1984.27;1992.19;101710
2024-02-15;1991.5;2008.28;1990.19;2004.27;91545
2024-02-16;2003.45;2015.18;1995.11;2013.12;101961
2024-02-19;2014.0;2022.94;2008.92;2017.66;66799
2024-02-20;2017.69;2030.88;2015.01;2024.06;95358
2024-02-21;2023.7;2032.27;2020.07;2025.96;104649
2024-02-22;2024.58;2034.89;2019.67;2024.72;111552
2024-02-23;2023.46;2041.36;2016.02;2035.45;108600
2024-02-26;2033.04;2037.06;2025.06;2031.19;92902
2024-02-27;2029.63;2039.48;2028.75;2030.33;94567
2024-02-28;2029.73;2037.89;2024.45;2033.71;102307
2024-02-29;2033.55;2050.69;2028.1;2043.77;107377
2024-03-01;2043.11;2088.31;2039.04;2083.2;115452
2024-03-04;2082.02;2119.89;2079.45;2114.42;109560
2024-03-05;2112.64;2141.76;2110.47;2127.82;124500
2024-03-06;2126.98;2152.18;2123.69;2148.1;113345
2024-03-07;2148.33;2164.67;2144.26;2159.63;103194
2024-03-08;2159.08;2195.13;2154.02;2178.49;117320
2024-03-11;2177.89;2189.0;2174.81;2182.77;88280
2024-03-12;2180.87;2184.74;2150.57;2158.43;99468
2024-03-13;2157.55;2179.84;2155.74;2174.58;91751
2024-03-14;2173.09;2176.98;2152.79;2161.85;94027
2024-03-15;2161.64;2172.72;2155.19;2155.6;85818
2024-03-18;2154.91;2163.57;2146.07;2160.13;86267
2024-03-19;2159.48;2162.82;2147.15;2157.57;89706
2024-03-20;2157.59;2188.79;2149.63;2185.96;97713
2024-03-21;2186.28;2222.65;2166.39;2180.88;135294
2024-03-22;2180.42;2186.09;2157.1;2165.22;112140
2024-03-25;2165.48;2181.35;2163.6;2171.33;93713
2024-03-26;2170.82;2200.1;2167.63;2177.89;97544
2024-03-27;2177.61;2197.59;2173.37;2194.72;83746
2024-03-28;2193.73;2236.18;2187.36;2232.76;112263
2024-04-01;2239.36;2265.71;2228.51;2250.57;103935
2024-04-02;2250.95;2281.01;2246.67;2280.21;120527
2024-04-03;2280.48;2301.14;2265.52;2299.85;129593
2024-04-04;2298.8;2305.59;2280.01;2290.62;114784
2024-04-05;2289.83;2330.44;2267.76;2329.24;135728
2024-04-08;2322.24;2353.89;2302.94;2339.03;159615
2024-04-09;2338.31;2365.29;2336.88;2352.84;142291
2024-04-10;2352.97;2360.11;2319.43;2332.76;140566
2024-04-11;2332.47;2377.68;2325.8;2373.33;138401
2024-04-12;2371.54;2431.47;2333.87;2344.17;181026
2024-04-15;2352.98;2387.58;2324.25;2382.75;194035
2024-04-16;2382.53;2398.24;2362.95;2382.27;192313
2024-04-17;2378.45;2395.56;2354.44;2360.76;163774
2024-04-18;2360.56;2392.77;2360.22;2377.42;150734
2024-04-19;2378.44;2417.81;2372.91;2390.57;187087
2024-04-22;2387.9;2388.42;2325.13;2325.38;150239
2024-04-23;2327.01;2334.41;2291.35;2321.76;169228
2024-04-24;2321.08;2337.29;2311.8;2315.78;136972
2024-04-25;2314.58;2344.87;2305.08;2331.83;137711
2024-04-26;2330.65;2352.52;2326.3;2337.72;124374
2024-04-29;2335.57;2346.76;2319.97;2335.8;142059
2024-04-30;2334.61;2336.27;2285.09;2285.25;133606
2024-05-01;2286.58;2328.23;2281.63;2317.16;136446
2024-05-02;2317.05;2326.4;2285.46;2303.36;159264
2024-05-03;2303.28;2320.63;2277.11;2302.11;225330
2024-05-06;2302.93;2332.01;2291.84;2324.01;220306
2024-05-07;2323.38;2329.97;2309.99;2313.69;195553
2024-05-08;2312.89;2321.4;2303.71;2308.87;205652
2024-05-09;2307.85;2347.21;2306.58;2345.94;206039
2024-05-10;2345.45;2378.45;2344.47;2359.98;228305
2024-05-13;2360.89;2364.52;2331.82;2336.6;205033
2024-05-14;2335.48;2359.63;2334.13;2357.75;216307
2024-05-15;2357.22;2390.28;2351.84;2385.97;235322
2024-05-16;2384.46;2397.35;2370.98;2376.68;227907
2024-05-17;2376.0;2422.72;2373.97;2413.41;217934
2024-05-20;2417.01;2450.06;2407.29;2425.23;298482
2024-05-21;2425.75;2433.94;2406.2;2420.81;251218
2024-05-22;2420.15;2426.58;2375.04;2378.0;232294
2024-05-23;2377.47;2383.68;2326.9;2328.45;205638
2024-05-24;2328.01;2347.44;2325.4;2333.78;127545
2024-05-27;2333.42;2358.5;2332.19;2350.43;94698
2024-05-28;2351.14;2364.11;2340.28;2361.04;139959
2024-05-29;2361.19;2362.01;2334.54;2338.23;131549
